lectureId,courseCode,roomName,buildingName,start,end,capacity,expectedGroupSize,occupancy,status
959747,FEB61000X_2025,CT-1,Building 2,2025-09-01 13:00:00,2025-09-01 13:45:00,139,118.0,99.0,Completed
959839,CM2005_2025,CB-5,Building 2,2025-09-01 13:00:00,2025-09-01 14:45:00,308,288.0,172.0,Completed
1061138,ESSB-PE2010_2025,L0.03,Building 1,2025-09-01 13:00:00,2025-09-01 14:45:00,256,250.0,213.0,Completed
1079121,BM01GBS_2025,L0.04,Building 1,2025-09-01 13:00:00,2025-09-01 15:45:00,226,200.0,103.0,Completed
1113385,BM01BAM_2025,L0.02,Building 1,2025-09-01 13:00:00,2025-09-01 15:45:00,253,160.0,144.0,Completed
1144733,,CB-1,Building 2,2025-09-01 13:00:00,2025-09-01 22:30:00,482,,37.0,Completed
1161348,BMTTFI_2025,L0.01,Building 1,2025-09-01 13:00:00,2025-09-01 14:45:00,217,300.0,268.0,Completed
959792,FEB62007_2025,CT-1,Building 2,2025-09-01 14:00:00,2025-09-01 14:45:00,139,200.0,112.0,Completed
959790,RQ42_2025,M1-19,Building 3,2025-09-01 15:00:00,2025-09-01 18:45:00,145,120.0,66.0,Completed
959824,RF47_2025,L0.01,Building 1,2025-09-01 15:00:00,2025-09-01 16:45:00,217,200.0,114.0,Completed
1129865,ESSB-BM2020_2025,L0.03,Building 1,2025-09-01 15:00:00,2025-09-01 16:45:00,256,160.0,147.0,Completed
1203753,FEB63019X_2025,CT-1,Building 2,2025-09-01 15:00:00,2025-09-01 15:45:00,139,139.0,106.0,Completed
959748,CC1008_2025,CT-1,Building 2,2025-09-01 16:00:00,2025-09-01 17:45:00,139,144.0,127.0,Completed
1072201,BMRM1SCM_2025,L0.04,Building 1,2025-09-01 16:00:00,2025-09-01 18:45:00,226,154.0,161.0,Completed
959861,CH2201_2025,CT-1,Building 2,2025-09-02 09:00:00,2025-09-02 10:45:00,139,100.0,61.0,Completed
959868,FEB21018X_2025,CB-5,Building 2,2025-09-02 09:00:00,2025-09-02 10:45:00,308,300.0,151.0,Completed
959869,FEB43005_2025,CB-2,Building 2,2025-09-02 09:00:00,2025-09-02 10:45:00,118,100.0,44.0,Completed
959871,FEB53108_2025,L0.01,Building 1,2025-09-02 09:00:00,2025-09-02 10:45:00,217,200.0,17.0,Completed
1039538,BM26MIM_2025,M1-19,Building 3,2025-09-02 09:00:00,2025-09-02 11:45:00,145,130.0,79.0,Completed
1045490,ESSB-BC1020_2025,CB-1,Building 2,2025-09-02 09:00:00,2025-09-02 10:45:00,482,280.0,213.0,Completed
1047728,ESSB-S1010_2025,L0.04,Building 1,2025-09-02 09:00:00,2025-09-02 10:45:00,226,200.0,147.0,Completed
1061136,ESSB-PE2010_2025,M1-17,Building 3,2025-09-02 09:00:00,2025-09-02 10:45:00,145,150.0,103.0,Completed
1117969,B3MIN1022_2025,CB-4,Building 2,2025-09-02 09:00:00,2025-09-02 10:45:00,118,100.0,90.0,Completed
1134677,ESSB-E4010_2025,L0.03,Building 1,2025-09-02 09:00:00,2025-09-02 10:45:00,256,190.0,155.0,Completed
1106765,BM02MM_2025,L0.02,Building 1,2025-09-02 10:00:00,2025-09-02 12:45:00,253,275.0,202.0,Completed
959922,CM4305_2025,CT-1,Building 2,2025-09-02 11:00:00,2025-09-02 12:45:00,139,120.0,95.0,Completed
959929,FEB21018_2025,CB-5,Building 2,2025-09-02 11:00:00,2025-09-02 12:45:00,308,300.0,231.0,Completed
959931,FEB22003_2025,L0.04,Building 1,2025-09-02 11:00:00,2025-09-02 12:45:00,226,225.0,118.0,Completed
959941,GW4002MD_2025,L0.01,Building 1,2025-09-02 11:00:00,2025-09-02 12:45:00,217,240.0,145.0,Completed
960391,FEB53113_2025,CB-4,Building 2,2025-09-02 11:00:00,2025-09-02 12:45:00,118,100.0,41.0,Completed
1046304,ESSB-C1010_2025,M1-17,Building 3,2025-09-02 11:00:00,2025-09-02 12:45:00,145,145.0,87.0,Completed
1112373,BMSM10_2025,CB-1,Building 2,2025-09-02 11:00:00,2025-09-02 12:45:00,482,350.0,277.0,Completed
1134679,ESSB-E4010_2025,L0.03,Building 1,2025-09-02 11:00:00,2025-09-02 12:45:00,256,190.0,155.0,Completed
1196005,RR84_2025,CB-2,Building 2,2025-09-02 11:00:00,2025-09-02 12:45:00,118,118.0,137.0,Completed
959904,RF50_2025,M1-19,Building 3,2025-09-02 12:00:00,2025-09-02 14:45:00,145,120.0,73.0,Completed
959865,FEB12001X_2025,CB-1,Building 2,2025-09-02 13:00:00,2025-09-02 14:45:00,482,550.0,337.0,Completed
959928,FEB21017X_2025,CB-5,Building 2,2025-09-02 13:00:00,2025-09-02 14:45:00,308,300.0,184.0,Completed
959974,FEM61000_2025,CB-2,Building 2,2025-09-02 13:00:00,2025-09-02 13:45:00,118,95.0,46.0,Completed
959975,FEM61000_2025,CB-4,Building 2,2025-09-02 13:00:00,2025-09-02 14:45:00,118,130.0,118.0,Completed
959983,FEB22002_2025,L0.01,Building 1,2025-09-02 13:00:00,2025-09-02 14:45:00,217,200.0,109.0,Completed
959984,FEB22003X_2025,CT-1,Building 2,2025-09-02 13:00:00,2025-09-02 14:45:00,139,135.0,124.0,Completed
1045429,ESSB-B1010_2025,L0.02,Building 1,2025-09-02 13:00:00,2025-09-02 14:45:00,253,190.0,112.0,Completed
1047835,ESSB-S1020_2025,M1-17,Building 3,2025-09-02 13:00:00,2025-09-02 14:45:00,145,145.0,86.0,Completed
1115456,BM12MI_2025,L0.04,Building 1,2025-09-02 13:00:00,2025-09-02 13:45:00,226,150.0,77.0,Completed
960000,FEM61000_2025,L0.04,Building 1,2025-09-02 14:00:00,2025-09-02 14:45:00,226,160.0,153.0,Completed
960003,FEM61000_2025,CB-2,Building 2,2025-09-02 14:00:00,2025-09-02 14:45:00,118,95.0,60.0,Completed
959780,CM2001_2025,CB-5,Building 2,2025-09-02 15:00:00,2025-09-02 17:45:00,308,312.0,186.0,Completed
959856,FW-00001_2025,CB-4,Building 2,2025-09-02 15:00:00,2025-09-02 16:45:00,118,100.0,67.0,Completed
960026,FEB22012_2025,L0.04,Building 1,2025-09-02 15:00:00,2025-09-02 16:45:00,226,145.0,88.0,Completed
960033,CC2007_2025,M1-19,Building 3,2025-09-02 15:00:00,2025-09-02 17:45:00,145,145.0,82.0,Completed
1044147,GW4003MD_2025,CB-1,Building 2,2025-09-02 15:00:00,2025-09-02 16:45:00,482,450.0,264.0,Completed
1079125,BM01GBS_2025,L0.01,Building 1,2025-09-02 15:00:00,2025-09-02 17:45:00,217,200.0,91.0,Completed
1086523,B3MIN1009_2025,M1-17,Building 3,2025-09-02 15:00:00,2025-09-02 16:45:00,145,100.0,11.0,Completed
1106912,BM07AFM_2025,L0.02,Building 1,2025-09-02 15:00:00,2025-09-02 17:45:00,253,250.0,178.0,Completed
1152726,FSWP4029K_2025,L0.03,Building 1,2025-09-02 15:00:00,2025-09-02 16:45:00,256,190.0,223.0,Completed
1184891,FEM61000_2025,CT-1,Building 2,2025-09-02 15:00:00,2025-09-02 15:45:00,139,139.0,113.0,Completed
1196018,RR84_2025,CB-2,Building 2,2025-09-02 15:00:00,2025-09-02 17:45:00,118,118.0,135.0,Completed
960043,RF47_2025,CT-1,Building 2,2025-09-02 16:00:00,2025-09-02 18:45:00,139,120.0,99.0,Completed
959840,FW-BA1102_2025,CB-1,Building 2,2025-09-02 17:00:00,2025-09-02 18:45:00,482,275.0,183.0,Completed
960047,FEB22012X_2025,L0.04,Building 1,2025-09-02 17:00:00,2025-09-02 18:45:00,226,145.0,74.0,Completed
1175496,FEB21017_2025,L0.03,Building 1,2025-09-02 17:00:00,2025-09-02 18:45:00,256,400.0,261.0,Completed
960063,FEB21017_2025,CB-1,Building 2,2025-09-03 09:00:00,2025-09-03 10:45:00,482,400.0,220.0,Completed
960064,FEB21018X_2025,CB-5,Building 2,2025-09-03 09:00:00,2025-09-03 10:45:00,308,300.0,37.0,Completed
960161,FEM11008_2025,L0.03,Building 1,2025-09-03 09:00:00,2025-09-03 10:45:00,256,280.0,246.0,Completed
960197,FEM11115_2025,M1-17,Building 3,2025-09-03 09:00:00,2025-09-03 11:45:00,145,200.0,42.0,Completed
960241,FEM11087_2025,L0.04,Building 1,2025-09-03 09:00:00,2025-09-03 10:45:00,226,260.0,209.0,Completed
960499,FEB13048_2025,CB-2,Building 2,2025-09-03 09:00:00,2025-09-03 11:45:00,118,115.0,8.0,Completed
1197216,EUC-ACC112_2025,L0.01,Building 1,2025-09-03 09:00:00,2025-09-03 10:45:00,217,,155.0,Completed
960117,FEB21018_2025,CB-5,Building 2,2025-09-03 11:00:00,2025-09-03 12:45:00,308,300.0,115.0,Completed
960131,RR84_2025,M1-19,Building 3,2025-09-03 11:00:00,2025-09-03 12:45:00,145,145.0,136.0,Completed
960159,FEB22003_2025,L0.04,Building 1,2025-09-03 11:00:00,2025-09-03 12:45:00,226,225.0,116.0,Completed
1038431,RR218_2025,CB-1,Building 2,2025-09-03 11:00:00,2025-09-03 12:45:00,482,420.0,279.0,Completed
1038466,RF216_2025,CB-4,Building 2,2025-09-03 11:00:00,2025-09-03 12:45:00,118,118.0,46.0,Completed
1092907,ESSB-SPM1020_2025,L0.01,Building 1,2025-09-03 11:00:00,2025-09-03 12:45:00,217,100.0,71.0,Completed
1199670,BM07AFM_2025,L0.03,Building 1,2025-09-03 11:00:00,2025-09-03 13:45:00,256,250.0,201.0,Completed
1200098,RF33_2025,CT-1,Building 2,2025-09-03 11:00:00,2025-09-03 12:45:00,139,100.0,93.0,Completed
960127,GW205AVV_2025,L0.02,Building 1,2025-09-03 12:00:00,2025-09-03 12:45:00,253,210.0,105.0,Completed
960042,GW4567M_2025,L0.04,Building 1,2025-09-03 13:00:00,2025-09-03 14:45:00,226,220.0,168.0,Completed
960049,CM4101_2025,CB-2,Building 2,2025-09-03 13:00:00,2025-09-03 15:45:00,118,125.0,103.0,Completed
960068,FEM21011_2025,L0.02,Building 1,2025-09-03 13:00:00,2025-09-03 14:45:00,253,200.0,153.0,Completed
960116,FEB21017X_2025,CB-5,Building 2,2025-09-03 13:00:00,2025-09-03 14:45:00,308,300.0,74.0,Completed
960150,CM4301_2025,CT-1,Building 2,2025-09-03 13:00:00,2025-09-03 14:45:00,139,120.0,84.0,Completed
960228,FEM11151_2025,M1-17,Building 3,2025-09-03 13:00:00,2025-09-03 14:45:00,145,145.0,50.0,Completed
1079129,BM01GBS_2025,L0.01,Building 1,2025-09-03 13:00:00,2025-09-03 15:45:00,217,200.0,81.0,Completed
1114434,B3MIN1056_2025,CB-4,Building 2,2025-09-03 13:00:00,2025-09-03 15:45:00,118,100.0,66.0,Completed
1191127,BK2103_2025,CB-1,Building 2,2025-09-03 13:00:00,2025-09-03 14:45:00,482,400.0,393.0,Completed
960659,FEM11074_2025,L0.03,Building 1,2025-09-03 14:00:00,2025-09-03 16:45:00,256,210.0,294.0,Completed
960065,FEM11059_2025,L0.02,Building 1,2025-09-03 15:00:00,2025-09-03 16:45:00,253,170.0,113.0,Completed
960118,FEB22003X_2025,CT-1,Building 2,2025-09-03 15:00:00,2025-09-03 16:45:00,139,135.0,104.0,Completed
960222,GW4567M_2025,L0.04,Building 1,2025-09-03 15:00:00,2025-09-03 16:45:00,226,220.0,157.0,Completed
1038278,RC111_2025,M1-17,Building 3,2025-09-03 15:00:00,2025-09-03 16:45:00,145,130.0,110.0,Completed
1038448,RR214_2025,CB-1,Building 2,2025-09-03 15:00:00,2025-09-03 16:45:00,482,420.0,293.0,Completed
1038508,RC206_2025,M1-19,Building 3,2025-09-03 15:00:00,2025-09-03 16:45:00,145,120.0,102.0,Completed
1106914,BM07AFM_2025,CB-5,Building 2,2025-09-03 15:00:00,2025-09-03 17:45:00,308,250.0,90.0,Completed
1038483,RF214_2025,CB-4,Building 2,2025-09-03 16:00:00,2025-09-03 17:45:00,118,118.0,43.0,Completed
1088059,B3MIN1044_2025,CB-2,Building 2,2025-09-03 16:00:00,2025-09-03 18:45:00,118,100.0,73.0,Completed
1116049,FW-BA2202_2025,L0.01,Building 1,2025-09-03 16:00:00,2025-09-03 17:45:00,217,210.0,68.0,Completed
960240,FEB21011S_2025,L0.04,Building 1,2025-09-03 17:00:00,2025-09-03 18:45:00,226,200.0,84.0,Completed
941170,ESSB-E1010_2025,CB-1,Building 2,2025-09-04 09:00:00,2025-09-04 10:45:00,482,350.0,347.0,Completed
960244,CM0004_2025,CB-4,Building 2,2025-09-04 09:00:00,2025-09-04 10:45:00,118,100.0,68.0,Completed
960280,FEB43010_2025,M1-17,Building 3,2025-09-04 09:00:00,2025-09-04 10:45:00,145,145.0,51.0,Completed
960282,FEB53107M_2025,CB-2,Building 2,2025-09-04 09:00:00,2025-09-04 10:45:00,118,100.0,47.0,Completed
960286,FEM11087_2025,L0.03,Building 1,2025-09-04 09:00:00,2025-09-04 10:45:00,256,260.0,133.0,Completed
960336,FEM21026_2025,L0.02,Building 1,2025-09-04 09:00:00,2025-09-04 11:45:00,253,210.0,89.0,Completed
1206187,BM02MM_2025,CB-5,Building 2,2025-09-04 09:00:00,2025-09-04 10:45:00,308,275.0,60.0,Completed
959992,RL60_2025,L0.03,Building 1,2025-09-04 11:00:00,2025-09-04 12:45:00,256,130.0,81.0,Completed
960390,FEB53107M_2025,CB-2,Building 2,2025-09-04 11:00:00,2025-09-04 12:45:00,118,100.0,47.0,Completed
960394,FEM11118_2025,CB-5,Building 2,2025-09-04 11:00:00,2025-09-04 12:45:00,308,308.0,93.0,Completed
960439,GW101K_2025,L0.01,Building 1,2025-09-04 11:00:00,2025-09-04 12:45:00,217,210.0,163.0,Completed
1098400,ESSB-BC2010_2025,M1-17,Building 3,2025-09-04 11:00:00,2025-09-04 12:45:00,145,145.0,80.0,Completed
1098401,ESSB-BC2010_2025,M1-19,Building 3,2025-09-04 11:00:00,2025-09-04 12:45:00,145,145.0,91.0,Completed
1113430,BM03BAM_2025,L0.04,Building 1,2025-09-04 11:00:00,2025-09-04 14:45:00,226,200.0,134.0,Completed
1114038,RMIN10_2025,CB-4,Building 2,2025-09-04 11:00:00,2025-09-04 12:45:00,118,100.0,69.0,Completed
1114333,RMIN03_2025,CT-1,Building 2,2025-09-04 11:00:00,2025-09-04 14:45:00,139,120.0,70.0,Completed
1157310,BM15FI_2025,CB-1,Building 2,2025-09-04 11:00:00,2025-09-04 14:45:00,482,400.0,291.0,Completed
960477,FEM11150_2025,M1-17,Building 3,2025-09-04 13:00:00,2025-09-04 14:45:00,145,145.0,54.0,Completed
960479,FEM11219_2025,CB-2,Building 2,2025-09-04 13:00:00,2025-09-04 14:45:00,118,100.0,31.0,Completed
960481,FEM21045_2025,L0.03,Building 1,2025-09-04 13:00:00,2025-09-04 14:45:00,256,240.0,199.0,Completed
1088391,ESSB-B3MIN01_2025,CB-4,Building 2,2025-09-04 13:00:00,2025-09-04 14:45:00,118,88.0,63.0,Completed
1200916,BM07AFM_2025,L0.02,Building 1,2025-09-04 13:00:00,2025-09-04 14:45:00,253,250.0,164.0,Completed
1115953,FW-BA2001_2025,M1-19,Building 3,2025-09-04 14:00:00,2025-09-04 15:45:00,145,80.0,55.0,Completed
960393,FEM11090_2025,CB-2,Building 2,2025-09-04 15:00:00,2025-09-04 16:45:00,118,118.0,100.0,Completed
960567,FEM11008_2025,L0.03,Building 1,2025-09-04 15:00:00,2025-09-04 16:45:00,256,280.0,224.0,Completed
960573,GW4567M_2025,L0.04,Building 1,2025-09-04 15:00:00,2025-09-04 16:45:00,226,220.0,141.0,Completed
960579,RF50_2025,CB-4,Building 2,2025-09-04 15:00:00,2025-09-04 17:45:00,118,118.0,81.0,Completed
1072208,BMRM1SCM_2025,L0.01,Building 1,2025-09-04 15:00:00,2025-09-04 17:45:00,217,154.0,161.0,Completed
1106915,BM07AFM_2025,L0.02,Building 1,2025-09-04 15:00:00,2025-09-04 17:45:00,253,250.0,170.0,Completed
1155873,BM10FI_2025,CB-1,Building 2,2025-09-04 15:00:00,2025-09-04 17:45:00,482,400.0,292.0,Completed
1198973,,L0.04,Building 1,2025-09-04 16:45:00,2025-09-04 19:00:00,226,,226.0,Completed
960229,FW-BA1102_2025,CB-5,Building 2,2025-09-04 17:00:00,2025-09-04 18:45:00,308,275.0,127.0,Completed
960606,FEB21017X_2025,CB-2,Building 2,2025-09-04 17:00:00,2025-09-04 18:45:00,118,100.0,11.0,Completed
960609,FEM11087_2025,L0.03,Building 1,2025-09-04 17:00:00,2025-09-04 18:45:00,256,260.0,92.0,Completed
960631,GW4567M_2025,L0.01,Building 1,2025-09-05 09:00:00,2025-09-05 10:45:00,217,220.0,99.0,Completed
1042163,FEM11110_2025,L0.04,Building 1,2025-09-05 09:00:00,2025-09-05 11:45:00,226,200.0,40.0,Completed
1071972,BM22MIM-P_2025,CB-2,Building 2,2025-09-05 09:00:00,2025-09-05 11:45:00,118,100.0,79.0,Completed
1107222,BM02BIM_2025,L0.03,Building 1,2025-09-05 09:00:00,2025-09-05 11:45:00,256,250.0,159.0,Completed
1117995,B3MIN1055_2025,CB-4,Building 2,2025-09-05 09:00:00,2025-09-05 10:45:00,118,100.0,51.0,Completed
1134514,ESSB-E4060_2025,L0.02,Building 1,2025-09-05 09:00:00,2025-09-05 10:45:00,253,250.0,101.0,Completed
1161351,BMTTFI_2025,CT-1,Building 2,2025-09-05 09:00:00,2025-09-05 10:45:00,139,120.0,32.0,Completed
1190110,FEB21018X_2025,CB-5,Building 2,2025-09-05 09:00:00,2025-09-05 10:45:00,308,300.0,96.0,Completed
1190111,FEB21017_2025,CB-1,Building 2,2025-09-05 09:00:00,2025-09-05 10:45:00,482,400.0,200.0,Completed
960660,FEM21005_2025,M1-19,Building 3,2025-09-05 11:00:00,2025-09-05 13:45:00,145,120.0,56.0,Completed
960686,GW4002MD_2025,L0.02,Building 1,2025-09-05 11:00:00,2025-09-05 12:45:00,253,240.0,178.0,Completed
1047834,ESSB-S1020_2025,M1-17,Building 3,2025-09-05 11:00:00,2025-09-05 13:45:00,145,145.0,46.0,Completed
1085361,RD120_2025,L0.01,Building 1,2025-09-05 11:00:00,2025-09-05 12:45:00,217,200.0,146.0,Completed
1114083,RMIN18_2025,CB-4,Building 2,2025-09-05 11:00:00,2025-09-05 12:45:00,118,85.0,17.0,Completed
1190108,FEB21018X_2025,CB-5,Building 2,2025-09-05 11:00:00,2025-09-05 12:45:00,308,300.0,6.0,Completed
1190109,FEB21017_2025,CB-1,Building 2,2025-09-05 11:00:00,2025-09-05 12:45:00,482,400.0,179.0,Completed
1118004,B3MIN1055_2025,CB-2,Building 2,2025-09-05 12:00:00,2025-09-05 13:45:00,118,100.0,53.0,Completed
960089,FEM11020_2025,CT-1,Building 2,2025-09-05 13:00:00,2025-09-05 15:45:00,139,125.0,63.0,Completed
960720,FEB21011S_2025,L0.01,Building 1,2025-09-05 13:00:00,2025-09-05 14:45:00,217,200.0,19.0,Completed
1038440,RD218_2025,L0.04,Building 1,2025-09-05 13:00:00,2025-09-05 14:45:00,226,200.0,79.0,Completed
1038474,RFD216_2025,L0.02,Building 1,2025-09-05 13:00:00,2025-09-05 14:45:00,253,250.0,28.0,Completed
1114443,B3MIN1056_2025,CB-4,Building 2,2025-09-05 13:00:00,2025-09-05 15:45:00,118,100.0,42.0,Completed
1119569,BPN1102_2025,L0.03,Building 1,2025-09-05 13:00:00,2025-09-05 14:45:00,256,200.0,153.0,Completed
1190106,FEB21018_2025,CB-1,Building 2,2025-09-05 13:00:00,2025-09-05 14:45:00,482,400.0,188.0,Completed
1190107,FEB21017X_2025,CB-5,Building 2,2025-09-05 13:00:00,2025-09-05 14:45:00,308,300.0,116.0,Completed
1115455,BM12MI_2025,M1-19,Building 3,2025-09-05 14:00:00,2025-09-05 17:45:00,145,150.0,72.0,Completed
1198313,,CB-2,Building 2,2025-09-05 14:00:00,2025-09-05 19:00:00,118,,110.0,Completed
960629,FEM21011_2025,L0.03,Building 1,2025-09-05 15:00:00,2025-09-05 16:45:00,256,200.0,98.0,Completed
1113392,BM01BAM_2025,L0.04,Building 1,2025-09-05 15:00:00,2025-09-05 16:45:00,226,160.0,23.0,Completed
1190104,FEB21018_2025,CB-1,Building 2,2025-09-05 15:00:00,2025-09-05 16:45:00,482,400.0,6.0,Completed
1190105,FEB21017X_2025,CB-5,Building 2,2025-09-05 15:00:00,2025-09-05 16:45:00,308,300.0,32.0,Completed
1038457,RD214_2025,L0.02,Building 1,2025-09-05 15:15:00,2025-09-05 17:00:00,253,253.0,92.0,Completed
1038491,RFD214_2025,L0.01,Building 1,2025-09-05 15:15:00,2025-09-05 17:00:00,217,217.0,22.0,Completed
1039067,FEM11090_2025,CB-4,Building 2,2025-09-05 17:00:00,2025-09-05 18:45:00,118,100.0,49.0,Completed
1196794,BM01MM_2025,L0.02,Building 1,2025-09-05 17:00:00,2025-09-05 18:45:00,253,251.0,171.0,Completed
941143,ESSB-E1010_2025,CB-1,Building 2,2025-09-08 09:00:00,2025-09-08 10:45:00,482,350.0,333.0,Completed
960795,CH1101_2025,CT-1,Building 2,2025-09-08 09:00:00,2025-09-08 10:45:00,139,120.0,79.0,Completed
960796,CM1015_2025,CB-5,Building 2,2025-09-08 09:00:00,2025-09-08 10:45:00,308,300.0,200.0,Completed
960802,FEB22002_2025,L0.01,Building 1,2025-09-08 09:00:00,2025-09-08 10:45:00,217,200.0,69.0,Completed
960805,FEM11087_2025,L0.03,Building 1,2025-09-08 09:00:00,2025-09-08 10:45:00,256,260.0,165.0,Completed
961099,FEM21005_2025,CB-4,Building 2,2025-09-08 09:00:00,2025-09-08 11:45:00,118,110.0,55.0,Completed
961210,FEB13048_2025,CB-2,Building 2,2025-09-08 09:00:00,2025-09-08 11:45:00,118,115.0,13.0,Completed
1039544,BM26MIM_2025,M1-19,Building 3,2025-09-08 09:00:00,2025-09-08 11:45:00,145,130.0,75.0,Completed
1061102,ESSB-PE2010_2025,L0.02,Building 1,2025-09-08 09:00:00,2025-09-08 10:45:00,253,250.0,91.0,Completed
1107176,BM01BIM_2025,L0.04,Building 1,2025-09-08 09:00:00,2025-09-08 11:45:00,226,250.0,140.0,Completed
960845,CC1001_2025,CT-1,Building 2,2025-09-08 11:00:00,2025-09-08 12:45:00,139,135.0,83.0,Completed
960860,FEB21017_2025,CB-1,Building 2,2025-09-08 11:00:00,2025-09-08 12:45:00,482,400.0,222.0,Completed
960861,FEB21018X_2025,CB-5,Building 2,2025-09-08 11:00:00,2025-09-08 12:45:00,308,300.0,162.0,Completed
960862,FEB22003_2025,L0.03,Building 1,2025-09-08 11:00:00,2025-09-08 12:45:00,256,225.0,92.0,Completed
960910,GW101K_2025,L0.01,Building 1,2025-09-08 11:00:00,2025-09-08 12:45:00,217,210.0,130.0,Completed
960928,FEB22002X_2025,M1-17,Building 3,2025-09-08 11:00:00,2025-09-08 12:45:00,145,145.0,13.0,Completed
1098399,ESSB-BC2010_2025,L0.02,Building 1,2025-09-08 11:00:00,2025-09-08 12:45:00,253,240.0,126.0,Completed
1072463,ESSB-E2010_2025,L0.04,Building 1,2025-09-08 12:00:00,2025-09-08 13:45:00,226,300.0,169.0,Completed
1115435,BM02MI_2025,CB-4,Building 2,2025-09-08 12:00:00,2025-09-08 13:45:00,118,150.0,87.0,Completed
960801,FEB21017X_2025,CB-5,Building 2,2025-09-08 13:00:00,2025-09-08 14:45:00,308,300.0,185.0,Completed
960927,FEB21018_2025,CB-1,Building 2,2025-09-08 13:00:00,2025-09-08 14:45:00,482,400.0,209.0,Completed
960956,FEM11074_2025,L0.03,Building 1,2025-09-08 13:00:00,2025-09-08 15:45:00,256,210.0,192.0,Completed
960957,FEM21026_2025,L0.02,Building 1,2025-09-08 13:00:00,2025-09-08 15:45:00,253,210.0,77.0,Completed
960966,RQ42_2025,CB-2,Building 2,2025-09-08 13:00:00,2025-09-08 16:45:00,118,120.0,60.0,Completed
960998,FEB22003X_2025,CT-1,Building 2,2025-09-08 13:00:00,2025-09-08 14:45:00,139,135.0,113.0,Completed
1079122,BM01GBS_2025,M1-17,Building 3,2025-09-08 13:00:00,2025-09-08 15:45:00,145,200.0,15.0,Completed
1121373,RMIN03_2025,L0.01,Building 1,2025-09-08 13:00:00,2025-09-08 14:45:00,217,200.0,61.0,Completed
960930,FEM11090_2025,CB-4,Building 2,2025-09-08 14:00:00,2025-09-08 15:45:00,118,118.0,99.0,Completed
960988,CC1008_2025,M1-19,Building 3,2025-09-08 14:00:00,2025-09-08 15:45:00,145,144.0,93.0,Completed
1072202,BMRM1SCM_2025,L0.04,Building 1,2025-09-08 14:00:00,2025-09-08 16:45:00,226,154.0,152.0,Completed
960872,RR84_2025,CT-1,Building 2,2025-09-08 15:00:00,2025-09-08 16:45:00,139,118.0,158.0,Completed
961015,CM2001_2025,CB-1,Building 2,2025-09-08 15:00:00,2025-09-08 17:45:00,482,312.0,185.0,Completed
961043,FEB21011S_2025,L0.01,Building 1,2025-09-08 15:00:00,2025-09-08 16:45:00,217,200.0,31.0,Completed
